src_ip,session,clean,unrated,suspicious,malicious
150.95.82.98,42552b58cf82,53,29,2,5
150.95.82.98,dc6d38a94253,53,29,2,5
150.95.82.98,e3c01ed363e1,53,29,2,5
151.35.127.61,bf80889c4ba2,61,32,0,0
151.57.120.215,1e6ab11f5b5f,0,94,0,0
151.80.149.86,56f8058d3422,56,31,2,2
151.80.149.86,c0b99fc54d3a,56,31,2,2
152.228.131.33,1c38354cc0f3,53,30,2,6
152.228.164.249,76ef8b6eade2,55,29,1,4
152.228.164.249,f80b7abbb692,55,29,1,4
152.228.164.249,7d379eaad389,55,29,1,4
152.228.164.249,025a0308e344,55,29,1,4
152.228.164.249,f6fa85763d9c,55,29,1,4
152.228.164.249,a0429c087def,55,29,1,4
152.228.164.249,445601e5fa5f,55,29,1,4
152.42.208.222,5941196474f8,54,31,2,3
152.42.208.222,7ec1dc7c57be,54,31,2,3
152.42.208.222,34e5454f46b7,54,31,2,3
152.42.245.17,55aa5a57204a,56,31,2,2
152.42.245.17,e0da910cb7b3,56,31,2,2
152.42.245.17,7e304e28b579,56,31,2,2
156.245.5.12,84d8c0c2f773,55,31,2,4
156.245.5.12,785941d065a3,55,31,2,4
156.245.5.12,fd466abb9cc7,55,31,2,4
156.245.5.12,3292d6592dcd,55,31,2,4
156.245.5.12,a6e4db111dd5,55,31,2,4
156.245.5.12,db6bc5bc949b,55,31,2,4
156.67.82.101,75890284020c,59,33,1,1
156.67.82.101,59a022c8f40f,59,33,1,1
157.230.228.48,d3d4c0ff6cd2,55,29,3,4
157.230.228.48,9b6fbf4582af,55,29,3,4
157.230.228.48,611b10f0978c,55,29,3,4
157.230.228.48,127cf7854eea,55,29,3,4
157.230.228.48,863dd487babe,55,29,3,4
157.230.228.48,de7ca63dfbe6,55,29,3,4
157.230.228.48,644a1e1e2c83,55,29,3,4
157.245.109.206,82e9289285ad,54,31,3,3
157.245.109.206,70986e7a6934,54,31,3,3
157.245.126.60,74ab7ba008a9,54,28,2,4
157.245.126.60,78598c5ebfc1,54,28,2,4
157.245.126.60,ce03da1e555a,54,28,2,4
157.245.126.60,80233242a798,54,28,2,4
157.245.126.60,94d20b9bb56b,54,28,2,4
157.245.126.60,d0bacfe579b4,54,28,2,4
157.245.126.60,f9119e01e89b,54,28,2,4
157.245.126.60,ab669ff1c238,54,28,2,4
157.245.126.60,bf9bb5d6a37a,54,28,2,4
157.245.126.60,6c981c4610eb,54,28,2,4
157.245.126.60,96d6e5a0ff1a,54,28,2,4
157.245.126.60,7698ad9340b3,54,28,2,4
157.245.126.60,7d2eebd080b4,54,28,2,4
157.245.251.23,791bd1f2ebd5,55,28,2,8
157.245.52.211,5ecff5237085,57,28,4,4
157.245.52.211,415af1631797,57,28,4,4
157.245.52.211,782f3d51a0bf,57,28,4,4
157.245.52.211,e240fe5531dc,57,28,4,4
157.66.54.115,d045f5ff445e,59,29,3,1
157.66.54.115,03f1491cca9d,59,29,3,1
157.66.54.115,2fe3337654e7,59,29,3,1
157.66.54.115,b12957ed3144,59,29,3,1
157.66.54.115,dd0c3c660103,59,29,3,1
159.146.11.164,9b371d5592b3,54,29,3,2
159.146.11.164,f019f4229163,54,29,3,2
159.146.11.164,01f819515e05,54,29,3,2
159.146.11.164,53ddb770c6df,54,29,3,2
159.146.11.164,02c08e37ea21,54,29,3,2
159.146.11.164,3e6acedae13f,54,29,3,2
159.146.11.164,d45f6bc2450c,54,29,3,2
159.203.112.234,b906a6a32929,55,30,1,4
159.203.112.234,051202df7478,55,30,1,4
159.203.112.234,4b1b07d8d2b8,55,30,1,4
159.203.143.4,a479d889c58f,55,30,1,4
159.203.143.4,357dfc5faa4e,55,30,1,4
159.203.143.4,818525be6fe0,55,30,1,4
159.203.143.4,030ad5f753c3,55,30,1,4
159.203.143.4,71566780e8f0,55,30,1,4
159.203.143.4,71750429b5fa,55,30,1,4
159.203.143.4,a77ba2c0ac8e,55,30,1,4
159.223.162.68,5dd45bd7cb74,55,30,2,3
159.223.33.49,8a06cbf5e940,53,32,0,4
159.223.33.49,d47f16c1f93a,53,32,0,4
159.223.33.49,0b9f9e121588,53,32,0,4
159.223.33.49,265e8db69148,53,32,0,4
159.223.65.161,5fd067360c28,53,29,2,4
159.223.65.161,b78a883cf91e,53,29,2,4
159.223.90.186,de9ad6701777,52,31,2,6
159.65.161.18,21f2bdb30391,57,30,2,3
159.65.161.18,181861f36023,57,30,2,3
159.65.161.18,39e07c472822,57,30,2,3
159.65.161.18,81de23bdd251,57,30,2,3
159.65.161.18,30483e4919db,57,30,2,3
159.65.161.18,038d621545ba,57,30,2,3
159.65.161.18,3310f7b468b1,57,30,2,3
159.89.168.110,d028e6ddfc4a,55,31,1,3
159.89.168.110,3caa8c0bbecb,55,31,1,3
159.89.168.110,7c068fdeb48b,55,31,1,3
159.89.168.110,d3528751471f,55,31,1,3
159.89.168.110,ca60f48af297,55,31,1,3
159.89.168.110,ed09435d8a55,55,31,1,3
161.132.180.115,c6394d5e1be8,50,29,3,6
161.132.180.115,1843e90a600a,50,29,3,6
161.35.121.67,eb9088f24f6d,56,31,1,2
161.35.122.26,45266c9a60e1,55,31,2,2
161.35.122.26,42f3c89b6cd6,55,31,2,2
161.35.122.26,1ee3856c960d,55,31,2,2
161.35.122.26,8057cfaa2056,55,31,2,2
161.35.122.26,8d72cc6b964d,55,31,2,2
161.35.122.26,a22789a711ad,55,31,2,2
161.35.204.169,38edd636bc6c,57,31,1,3
161.35.204.169,efbefe6e4eb6,57,31,1,3
161.35.204.169,97e2f32cd9c2,57,31,1,3
161.35.204.169,7eb6d538e203,57,31,1,3
161.35.204.169,a7d8a70a72c4,57,31,1,3
161.35.204.169,b369f9f4dd66,57,31,1,3
161.35.204.169,cadb9fe14830,57,31,1,3
161.35.221.197,ed3feb5bb777,53,30,2,6
161.35.221.197,762e2ec17fde,53,30,2,6
161.35.221.197,aea963311106,53,30,2,6
161.35.221.197,7e7ae646c088,53,30,2,6
161.35.221.197,37bf474d9b15,53,30,2,6
161.35.221.197,c390023397cf,53,30,2,6
161.82.250.36,037ac02a5061,55,29,2,7
161.82.250.36,c8a752598337,55,29,2,7
161.82.250.36,af848b882625,55,29,2,7
161.82.250.36,e346f9f9bf29,55,29,2,7
161.82.250.36,6425678c668f,55,29,2,7
161.82.250.36,927a4a8df224,55,29,2,7
162.19.250.16,67ad1fe4ecfc,56,29,1,4
162.19.250.16,48ce2c1801c7,56,29,1,4
162.19.48.19,b9fd66e28eaa,54,31,1,4
162.19.48.19,c49d2c8999b9,54,31,1,4
162.19.48.19,51f70640940b,54,31,1,4
162.19.48.19,87970ce801ed,54,31,1,4
162.19.48.19,c3a7925140ac,54,31,1,4
164.77.117.10,2fa464e90bc7,54,30,1,5
164.77.117.10,2936a88f4440,54,30,1,5
164.90.224.212,997567d7902e,58,30,2,2
164.90.224.212,5b3dc2d10a88,58,30,2,2
164.92.78.64,8bb92cabb8c2,58,28,2,4
164.92.78.64,c128ad581a92,58,28,2,4
165.154.11.113,1d5ab54eb137,57,31,1,2
165.154.11.113,2e0142318fbf,57,31,1,2
165.154.11.113,ddbee1473396,57,31,1,2
165.154.11.113,71d2a69e8971,57,31,1,2
165.154.187.12,498a52e457ab,54,30,2,4
165.154.187.12,778bb2aaef6b,54,30,2,4
165.154.19.74,42f95c1ffbbd,55,31,3,2
165.154.19.74,eeff6883abc3,55,31,3,2
165.154.19.74,82b2b4d59561,55,31,3,2
165.154.19.74,e168fde15a10,55,31,3,2
165.154.19.74,5ecd9eaab113,55,31,3,2
165.154.19.74,55f2ba1bee96,55,31,3,2
165.154.19.74,df13825d4829,55,31,3,2
165.154.19.74,be83966aa596,55,31,3,2
165.154.19.74,a1242efc8676,55,31,3,2
165.154.19.74,7d3d7580b215,55,31,3,2
165.154.19.74,1299a597780c,55,31,3,2
165.154.19.74,f3764487f4f1,55,31,3,2
165.22.101.34,b9dd2340d111,56,29,2,2
165.22.101.34,b51df4e01260,56,29,2,2
165.22.101.34,2516757a9c71,56,29,2,2
165.22.101.34,b6be6ed085a8,56,29,2,2
165.22.101.34,62b9ef6e5148,56,29,2,2
165.22.101.34,727067c8548b,56,29,2,2
165.22.197.179,b755369fe887,54,29,3,3
165.227.193.212,e4959d5b10b9,54,30,2,4
165.227.245.17,c7c9c0d5c70d,53,30,2,4
165.227.245.17,192aaad58aa7,53,30,2,4
165.227.245.17,100f35ec0306,53,30,2,4
165.227.245.17,9469399bb6a4,53,30,2,4
165.232.135.104,d07378aaa513,57,31,1,1
165.232.135.104,b7bcf3684356,57,31,1,1
165.232.154.171,297e275a6d76,53,28,2,6
165.232.157.106,14fd18628ad5,55,31,2,2
165.232.179.80,394b09f42c35,57,30,2,4
165.232.179.80,59bf15f4b1f2,57,30,2,4
165.232.179.80,9f1bcc5c6965,57,30,2,4
165.232.179.80,a81eeca8eca4,57,30,2,4
165.232.180.105,020657f5b4cb,55,31,1,3
165.232.180.105,eb3b3ab0e8de,55,31,1,3
165.232.180.105,1260ca15dba9,55,31,1,3
165.232.180.105,bb0ea983d4fd,55,31,1,3
165.232.180.105,a3d8d435c4f8,55,31,1,3
167.114.114.51,21e68f02df63,56,30,1,3
167.114.115.235,056d1afdf8b0,55,32,1,3
167.114.115.235,5c47b40c94ae,55,32,1,3
167.114.115.235,3c7b38f6d1f6,55,32,1,3
167.114.115.235,106ff474da57,55,32,1,3
167.114.96.239,ea98c7ad7fa3,58,29,3,3
167.114.96.239,873fe63adecd,58,29,3,3
167.114.96.239,ab50889ff025,58,29,3,3
167.114.96.239,8b209d8a75ee,58,29,3,3
167.114.96.239,567cd7d6cd4f,58,29,3,3
167.114.96.239,e5c5dd718dbb,58,29,3,3
167.114.96.239,0206aca18bd2,58,29,3,3
167.114.96.239,0363bfb4e0d5,58,29,3,3
167.114.96.239,cc19b53cc91b,58,29,3,3
