src_ip,session,clean,unrated,suspicious,malicious
67.205.138.101,5857aa1efdb3,56,31,2,2
67.205.138.101,25bac0f5af20,56,31,2,2
67.205.160.228,0c3eaccced25,52,28,1,7
67.205.160.228,139ecd7f78a7,52,28,1,7
67.205.160.228,b0435b17ed29,52,28,1,7
67.205.160.228,3f7d1ef4332b,52,28,1,7
67.205.160.228,fd1677a3f333,52,28,1,7
67.205.160.228,f680b8e03f4d,52,28,1,7
67.205.160.228,8438c7e7ebe5,52,28,1,7
67.205.160.228,3caade14f46c,52,28,1,7
67.205.160.228,941a675e8795,52,28,1,7
68.104.163.181,fa4d6338c0d1,58,31,2,2
68.104.163.181,9b925b55cb57,58,31,2,2
68.104.163.181,829cbb6ff525,58,31,2,2
68.104.163.181,de87804e141d,58,31,2,2
68.104.163.181,5aace45adc72,58,31,2,2
68.104.163.181,1cc254d4f5d7,58,31,2,2
68.104.163.181,861adaab6dcc,58,31,2,2
68.104.163.181,7c9080160220,58,31,2,2
68.104.163.181,eb1b0a8466ed,58,31,2,2
68.104.163.181,6508670ac25e,58,31,2,2
68.183.108.31,7d5cf8fcf453,54,29,2,3
68.183.108.31,12e3c5db1fc2,54,29,2,3
68.183.176.218,5de3a8c2e3e3,53,30,2,4
68.183.176.218,110d495c8808,53,30,2,4
68.183.176.218,8cf266f5836b,53,30,2,4
68.183.22.195,80f29573f218,55,30,3,2
68.183.23.237,b0eca5d58e4f,57,31,2,2
68.183.80.132,d0a32da351da,55,31,1,3
68.183.80.132,f7ad8c387cbb,55,31,1,3
68.183.85.57,c7c77df47506,56,32,2,1
68.183.85.57,c695529f2d76,56,32,2,1
68.183.85.57,1f6c299b61d3,56,32,2,1
68.183.85.57,f847c49c026b,56,32,2,1
68.183.85.57,a80cbe2fac84,56,32,2,1
68.183.85.57,008a281908f8,56,32,2,1
68.183.85.57,6add38960200,56,32,2,1
69.49.228.212,86ba44ddd2ac,58,30,3,2
69.49.228.212,de613f903e96,58,30,3,2
69.49.228.212,136e94095044,58,30,3,2
69.49.228.212,0bfcfd7aa796,58,30,3,2
69.49.228.212,d20fffd2532d,58,30,3,2
69.49.228.212,a8cb8fa9adf8,58,30,3,2
73.135.38.134,2b03eaacf416,55,30,3,3
73.135.38.134,1112cd82a29d,55,30,3,3
73.135.38.134,69b4b0d1dbf4,55,30,3,3
73.135.38.134,f65b2a4dd8ba,55,30,3,3
73.135.38.134,16e37e565066,55,30,3,3
73.135.38.134,4ef1592ff4cb,55,30,3,3
73.135.38.134,a179e0726b68,55,30,3,3
73.135.38.134,4f8ce3e3ef56,55,30,3,3
73.87.88.208,83859d1599c1,56,29,3,3
73.87.88.208,d176a9f5a1fa,56,29,3,3
73.87.88.208,2d70f29cb318,56,29,3,3
77.221.141.214,f967ed31dfb5,54,33,1,3
77.221.141.214,2dd6f8a70c24,54,33,1,3
77.221.141.214,f8ea8d4fe50c,54,33,1,3
77.221.141.214,59dff8a08f27,54,33,1,3
77.221.141.214,57cee455db3d,54,33,1,3
77.221.141.214,1033a6a3d335,54,33,1,3
77.37.136.47,96cba67a32dc,54,30,2,4
77.37.136.47,f426b85af0d8,54,30,2,4
77.37.136.47,34ec8856bfc2,54,30,2,4
77.37.136.47,7196345d13b0,54,30,2,4
77.37.136.47,66ba008ce108,54,30,2,4
77.37.136.47,264dc4154b25,54,30,2,4
77.37.136.47,feea40ac05cd,54,30,2,4
79.110.236.156,e9acad5fb94c,56,32,1,2
79.111.0.58,b95a60349c45,49,31,2,6
79.111.0.58,ee73b9e137dd,49,31,2,6
79.175.176.225,df18c5aba915,51,29,3,5
79.175.176.225,1aff3b0b2d7c,51,29,3,5
79.175.176.225,d3788cf52541,51,29,3,5
79.175.176.225,fc6dbd250a5a,51,29,3,5
8.209.74.10,1fd374f8c71c,60,30,2,2
8.209.74.10,d657d172889b,60,30,2,2
8.209.74.10,ee1164ddcb66,60,30,2,2
